epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,2637.49,0.2961,0.22757,0.80073,0.94885,0.92023,0.94246,0.89001,0.36925,0.32793,0.83856,0.000110089,0.000110089,0.000110089
91,2685.84,0.27928,0.21176,0.79333,0.98268,0.90298,0.94266,0.88846,0.3638,0.32647,0.83762,0.00010009,0.00010009,0.00010009
92,2712.57,0.2709,0.21226,0.79041,0.9939,0.89974,0.94087,0.89032,0.36504,0.31974,0.8354,9.0091e-05,9.0091e-05,9.0091e-05
93,2739.59,0.28377,0.21243,0.79492,0.98391,0.90457,0.93995,0.89203,0.35476,0.3169,0.82986,8.0092e-05,8.0092e-05,8.0092e-05
94,2766.68,0.27139,0.21029,0.79352,0.99283,0.90032,0.94247,0.89076,0.36083,0.32104,0.83001,7.0093e-05,7.0093e-05,7.0093e-05
95,2793.72,0.26179,0.20291,0.78278,0.97945,0.90759,0.94238,0.89034,0.35952,0.32668,0.82741,6.0094e-05,6.0094e-05,6.0094e-05
96,2821.49,0.26003,0.20742,0.78152,0.96672,0.91773,0.94269,0.89208,0.35405,0.31675,0.82709,5.0095e-05,5.0095e-05,5.0095e-05
97,2849.46,0.25613,0.20283,0.78417,0.98714,0.90825,0.9451,0.89495,0.34934,0.31207,0.82516,4.0096e-05,4.0096e-05,4.0096e-05
98,2877.47,0.25215,0.20078,0.79006,0.98741,0.90744,0.94596,0.89187,0.35189,0.31111,0.82903,3.0097e-05,3.0097e-05,3.0097e-05
99,2905.99,0.26052,0.20433,0.78183,0.98779,0.903,0.94712,0.89268,0.35319,0.31196,0.82925,2.0098e-05,2.0098e-05,2.0098e-05
100,2934.65,0.25096,0.196,0.78528,0.98181,0.90879,0.94718,0.89446,0.3511,0.30926,0.82933,1.0099e-05,1.0099e-05,1.0099e-05
1,28.1914,1.07183,3.26426,1.24763,0.43819,0.40531,0.27569,0.17902,1.15643,8.43937,1.25805,0.0676226,0.000327044,0.000327044
2,56.6793,1.31643,3.05115,1.34956,0.35927,0.2665,0.19321,0.08752,1.82406,96.2874,2.13396,0.034616,0.000653774,0.000653774
3,87.0941,1.59961,3.62438,1.60595,0.06607,0.27895,0.06185,0.02716,1.86544,4.53462,1.88332,0.00160277,0.000973838,0.000973838
4,114.311,1.58905,2.90169,1.55587,0.44024,0.41443,0.30707,0.18197,1.26523,4.5955,1.35101,0.000970003,0.000970003,0.000970003
5,141.388,1.33444,2.14518,1.34622,0.44441,0.34284,0.36928,0.27485,1.24408,2.601,1.33803,0.000960004,0.000960004,0.000960004
6,168.489,1.18233,1.65072,1.24484,0.7024,0.62605,0.71039,0.51012,1.13786,1.47835,1.19228,0.000950005,0.000950005,0.000950005
7,195.752,1.13144,1.45274,1.22974,0.86192,0.65396,0.74736,0.53195,1.09234,1.4244,1.21519,0.000940006,0.000940006,0.000940006
8,223.046,1.03652,1.25038,1.15749,0.84871,0.70939,0.80539,0.59812,0.96302,1.19002,1.13075,0.000930007,0.000930007,0.000930007
9,250.504,0.96937,1.1429,1.11611,0.81984,0.73745,0.78192,0.61301,0.8921,1.12153,1.08695,0.000920008,0.000920008,0.000920008
10,277.962,0.89186,1.02521,1.08636,0.83203,0.77752,0.81481,0.66027,0.81037,0.97344,1.03127,0.000910009,0.000910009,0.000910009
11,305.424,0.8976,0.98468,1.06802,0.88988,0.75563,0.84455,0.64831,0.90375,0.94144,1.1026,0.00090001,0.00090001,0.00090001
12,332.786,0.91786,0.91488,1.09444,0.84594,0.7841,0.83668,0.64926,0.81488,0.9429,1.04562,0.000890011,0.000890011,0.000890011
